,MUNICIPIO,CLAVE_CT,RESPONSABLE,TURNO,NOMBRE_CT,DIRECTOR,NIVEL,MATRICULA,DOCENTE,GRUPOS,AULAS_EXISTENTES,AULAS_USO,INVERSION_TIEMPO_COMPLETO_2014,INVERSION_TIEMPO_COMPLETO_2015,INVERSION_AULAS_INTERACTIVAS_2015,INVERSION_AULAS_INTERACTIVAS_2014,INVERSION_AULAS_INTERACTIVAS_2013,INVERSION_AULAS_PROVISIONALES_2013,INVERSION_AULAS_PROVISIONALES_2014,INVERSION_AULAS_PROVISIONALES_2015,INVERSION_PEC_2013,INVERSION_PEC_2014,INVERSION_MOBILIARIO,INVERSION_EXCELENCIA_2014,INVERSION_PES_2013,INVERSION_PES_2014,INVERSION_CONIBA_2013,INVERSION_ESCUELA_DIGNA_2013,INVERSION_FONDEN_2013,INVERSION_PROGRAMA_SANA_2013,INVERSION_CONIBA_2014,INVERSION_ESCUELAS_DE_TIEMPO_COMPLETO_2014,INVERSION_ESCUELA_DIGNA_2014,INVERSION_FAEB_2014,INVERSION_FONDEN_2014,INVERSION_INFRAESTRUCTURA_EDUCATIVA_ESTATAL_2014_(RECURSO_2013),INVERSION_PROGRAMA_ESCUELAS_DE_EXCELENCIA_2014,INVERSION_PROGRAMA_SANA_2014,INVERSION_PROGRAMA_CONIBA_2015,INVERSION_ESCUELAS_DE_TIEMPO_COMPLETO_2015_(RECURSO_2014),INVERSION_PROGRAMA_ESCUELA_DIGNA_2015,INVERSION_FAEB_2015,INVERSION_FONDEN_2015,INVERSION_INFRAESTRUCTURA_EDUCATIVA_ESTATAL_2015_(RECURSO_2013),INVERSION_PROGRAMA_ESCUELAS_DE_EXCELENCIA_2015_(RECURSO_2014),INVERSION_PROGRAMA_SANA_2015,OTROS_PROGRAMAS,BENEFICIARIOS_ALIMENTOS_DIF_2014_digit,BENEFICIARIOS_ALIMENTOS_DIF_2014_alimento,AULAS_INTERACTIVAS_OBSERVACION_instalado,AULAS_INTERACTIVAS_OBSERVACION_en_proceso,AULAS_PROVISIONALES_OBSERVACION_aulas,AULAS_PROVISIONALES_OBSERVACION_sustituir_uso_educ,AULAS_PROVISIONALES_OBSERVACION_otro_uso,AULAS_PROVISIONALES_OBSERVACION_sust_2013,AULAS_PROVISIONALES_OBSERVACION_sust_2014,AULAS_PROVISIONALES_OBSERVACION_sust_2015,CONECTIVIDAD_mbs,OBSERVACION_PEC2013_processed,OBSERVACION_PEC2014_processed,OBSERVACION_MOBILIARIO_PIEZAS_processed,OBSERVACION_MOBILIARIO_ALUMNOS_processed,OBSERVACION_MOBILIARIO_MATRICULA_processed,NOM_TURNO,DOMICILIO,LOCALIDAD_INEGI,NOMBRE_LOCALIDAD,COLONIA,NOMBRE_COLONIA,MUNICIPIO_CLAVE_INEGI,NOMBRE_MUNICIPIO,SOSTENIMIENTO,PROGRAMA,DESERCIiN_INTRACURRICULAR,REPROBACIiN,REPROBACIiN__CON_REGULARIZADOS,EFICIENCIA_TERMINAL,HOMBRES_1!,MUJERES_1!,TOTAL_1!,HOMBRES_2!,MUJERES_2!,TOTAL_2!,HOMBRES_3!,MUJERES_3!,TOTAL_3!,HOMBRES_4!,MUJERES_4!,TOTAL_4!,HOMBRES_5!,MUJERES_5!,TOTAL_5!,HOMBRES_6!,MUJERES_6!,TOTAL_6!,HOMBRES_TOTAL,MUJERES_TOTAL,MATRICULA_TOTAL,DOCENTES,GRUPOS_genero,DOCENETE_EDUCACION_FISICA,DOCENTE_ACTIVIDADES_ARTISTICAS,DOCENTE_ACTIVIDADES_TECNONOLOGICAS,DOCENTE_DE_IDIOMAS,PERSONAL_DE_ADMINISTRATIVO_Y_SERVICIOS,DIRECTOR_CON_GRUPO,DIRECTOR_SIN_GRUPO,TOTAL_DE_PERSONAL,CLAVE_DE_LA_ESCUELA,ALUMNOS_PROGRAMADOS_PRUEBA,PORCENTAJE_DE_EVALUADOS_LENGUAJE_Y_COMUNICACIAN,PORCENTAJE_DE_EVALUADOS_MATEMATICAS,LA_PRUEBA_ES_REPRESENTATIVA_LEGUAJE_Y_COMUNICACIAN,LA_PRUEBA_ES_REPRESENTATIVA__MATEMATICAS,INFORMACION_POCO_CONFIABLE_LENGUAJE_Y_COMUNICACIAN,INFORMACION_POCO_CONFIABLE_MATEMATICAS,NIVEL_I_LENGUAJE_Y_COMUNICACIAN_(%),NIVEL_II_LENGUAJE_Y_COMUNICACIAN_(%),NIVEL_III_LENGUAJE_Y_COMUNICACIAN_(%),NIVEL_IV_LENGUAJE_Y_COMUNICACIAN_(%),NIVEL_PREDOMINANTE_LENGUAJE_Y_COMUNICACIAN,NIVEL_I_MATEMATICAS_(%),NIVEL_II_MATEMATICAS_(%),NIVEL_III_MATEMATICAS_(%),NIVEL_IV_MATEMATICAS_(%),NIVEL_PREDOMINANTE_MATEMATICAS
1331,ZAPOPAN,14EPR1297F,L,VESPERTINO,MIGUEL_HIDALGO,ZAYDA_MATILDE_LORETO_OCHOA,PRIMARIA,420,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,FRIO,,,,,,,,,4.0,,,,,,VESPERTINO,AQUILES_SERDAN,1,ZAPOPAN,6219,SANTA_ANA_TEPETITLAN,120,ZAPOPAN,ESTATAL,GENERAL,0.25,0.0,,84.52,37,39,76,39,25,64,33,26,59,39,32,71,36,41,77,34,40,74,218,203,421,12,12,0,0,0,0,1,0,1,14,14EPR1297F,70,78.6,84.3,SI,SI,NO,NO,54.5,30.9,10.9,3.6,I,74.6,15.3,6.8,3.4,I
1332,ZAPOPAN,14DPR0001Z,L,NOCTURNO,DIEGO_HUIZAR_MARTINEZ,TERESA_ELIZABEHT_RUIZ_SALINAS,PRIMARIA,19,1,6,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,NOCTURNO,AVENIDA_PERIFERICO,1,ZAPOPAN,6152,LA_PALMITA,120,ZAPOPAN,FEDERALIZADO,GENERAL,5.56,0.0,,0.0,0,0,0,0,0,0,3,0,3,0,4,4,2,3,5,6,6,12,11,13,24,1,1,0,0,0,0,0,1,0,1,14DPR0001Z,5,40.0,40.0,NO,NO,NO,NO,,100.0,,,II,,100.0,,,II
1333,ZAPOPAN,14DPR0606O,R,MATUTINO,LAZARO_CARDENAS_DEL_RIO,MIGUEL_ANGEL_RODRIGUEZ_FLORES,PRIMARIA,483,12,12,12,12,,,,,,,,,,,,,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,MATUTINO,AVENIDA_CENTRAL_405,1,ZAPOPAN,6287,RESIDENCIAL_PONIENTE,120,ZAPOPAN,FEDERALIZADO,GENERAL,4.71,0.67,,91.46,30,30,60,32,37,69,39,36,75,39,35,74,44,30,74,42,34,76,226,202,428,12,12,1,0,0,0,2,0,1,16,14DPR0606O,70,95.7,95.7,SI,SI,NO,NO,35.8,35.8,22.4,6.0,I,64.2,13.4,11.9,10.4,I
1334,ZAPOPAN,14DPR1589V,L,VESPERTINO,18_DE_MARZO,VICTOR_MANUEL_VELASCO_SANCHEZ,PRIMARIA,87,5,6,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,VESPERTINO,AVENIDA_CENTRAL_405,1,ZAPOPAN,6287,RESIDENCIAL_PONIENTE,120,ZAPOPAN,FEDERALIZADO,GENERAL,3.19,0.0,,100.0,1,4,5,7,10,17,6,3,9,6,2,8,13,6,19,8,9,17,41,34,75,5,5,2,0,0,0,1,1,0,8,14DPR1589V,22,72.7,72.7,SI,SI,NO,NO,37.5,31.3,31.3,,I,50.0,31.3,12.5,6.3,I
1335,ZAPOPAN,14EES0501M,R,MATUTINO,MANUEL_LOPEZ_COTILLA,FRANCISCO_FLORES_ESQUEDA,SECUNDARIA,366,22,12,12,12,,,,,,,,,,86600.0,,,,,95477.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,MATUTINO,AVENIDA_CIRCUNVALACION_ORIENTE_375,1,ZAPOPAN,642,CIUDAD_GRANJA,120,ZAPOPAN,ESTATAL,GENERAL,2.27,0.0,0.0,90.78,93,75,168,78,72,150,61,50,111,0,0,0,0,0,0,0,0,0,232,197,429,23,12,2,1,2,0,17,0,1,41,14EES0501M,70,94.3,92.9,SI,SI,NO,NO,22.7,54.5,16.7,6.1,II,73.8,21.5,1.5,3.1,I
1336,ZAPOPAN,14EES0501M,L,VESPERTINO,MANUEL_LOPEZ_COTILLA,FRANCISCO_FLORES_ESQUEDA,SECUNDARIA,245,28,9,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,VESPERTINO,AVENIDA_CIRCUNVALACION_ORIENTE_375,1,ZAPOPAN,642,CIUDAD_GRANJA,120,ZAPOPAN,ESTATAL,GENERAL,8.3,0.0,0.0,86.81,43,22,65,56,52,108,52,34,86,0,0,0,0,0,0,0,0,0,151,108,259,25,9,1,1,1,0,13,0,1,39,14EES0501M,70,90.0,97.1,SI,SI,NO,NO,36.5,57.1,6.3,,II,80.9,17.6,1.5,,I
1337,ZAPOPAN,14DPR2162Z,R,MATUTINO,NIAAOS_HEROES,MARTHA_ALEJANDRA_BAAAUELOS_COVARRUBIAS,PRIMARIA,482,12,12,12,12,,,,,,,,,,90000.0,,,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,0.0,,,,MATUTINO,AVENIDA_DEL_PINAR_2900,1,ZAPOPAN,6167,PINAR_DE_LA_CALMA,120,ZAPOPAN,FEDERALIZADO,GENERAL,2.61,2.23,,100.0,34,40,74,33,32,65,37,39,76,36,43,79,29,45,74,36,40,76,205,239,444,12,12,1,0,0,2,3,0,1,19,14DPR2162Z,70,100.0,98.6,SI,SI,NO,NO,2.9,28.6,45.7,22.9,III,20.3,15.9,27.5,36.2,IV
1338,ZAPOPAN,14DPR2620V,L,VESPERTINO,SALVADOR_LOPEZ_CHAVEZ,SOLEDAD_TORRES_OCEGUERA,PRIMARIA,141,6,6,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,VESPERTINO,AVENIDA_DEL_PINAR_2900,1,ZAPOPAN,6167,PINAR_DE_LA_CALMA,120,ZAPOPAN,FEDERALIZADO,GENERAL,3.13,1.94,,96.15,10,9,19,10,12,22,11,10,21,10,17,27,14,10,24,16,13,29,71,71,142,6,6,1,0,0,0,1,0,1,9,14DPR2620V,25,100.0,100.0,SI,SI,NO,NO,32.0,40.0,16.0,12.0,II,48.0,24.0,16.0,12.0,I
1339,ZAPOPAN,14EPR1545X,R,MATUTINO,LUIS_DONALDO_COLOSIO_MURRIETA,IRMA_AMEZQUITA_DIAZ,PRIMARIA,500,14,14,14,14,,,,,,,,,,,,155315.55,,,,,,,,,,,,,,,,,,,,,698629.99,,,153.0,FRIO,,,,,,,,,2.0,,,,,,MATUTINO,AVENIDA_DEL_VERGEL,1,ZAPOPAN,6354,LAS_CABAAITAS,120,ZAPOPAN,ESTATAL,GENERAL,2.28,1.27,,100.0,58,54,112,39,33,72,42,34,76,28,41,69,50,29,79,46,49,95,263,240,503,14,14,1,1,0,0,1,0,1,18,14EPR1545X,70,100.0,98.6,SI,SI,NO,NO,52.9,32.9,12.9,1.4,I,60.9,15.9,17.4,5.8,I
1340,ZAPOPAN,14EPR0915S,L,VESPERTINO,LUIS_DONALDO_COLOSIO_MURRIETA,MARIA_ELENA_HERNANDEZ_LARIOS,PRIMARIA,456,13,13,14,13,,,,,,,,,,,,145085.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,VESPERTINO,AVENIDA_DEL_VERGEL,1,ZAPOPAN,6354,LAS_CABAAITAS,120,ZAPOPAN,ESTATAL,GENERAL,3.48,1.68,,75.53,42,30,72,30,41,71,40,28,68,27,37,64,38,39,77,34,34,68,211,209,420,12,12,1,1,1,0,3,0,1,19,14EPR0915S,70,91.4,90.0,SI,SI,NO,NO,65.6,26.6,7.8,,I,77.8,15.9,1.6,4.8,I
